Antworte im Chat mit der Kirchenführung	[IN:SEND_MESSAGE [SL:GROUP Kirchenführung SL:GROUP] IN:SEND_MESSAGE]
Starte einen Timer für die französische Presse	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:TIMER_NAME französische Presse SL:TIMER_NAME] IN:CREATE_TIMER]
Spiele etwas von Adele .	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Adele SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiele Jay - Z	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Jay - Z SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiele mir jemanden wie Chance the Rapper	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Chance the Rapper SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiel Led Zeppelin .	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Led Zeppelin SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiele U2	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME U2 SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiel bitte etwas von ZZ Top .	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME ZZ Top SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiele Stressed Out	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE Stressed Out SL:MUSIC_TRACK_TITLE] IN:PLAY_MUSIC]
Spiel mir etwas David Lee Roth	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME David Lee Roth SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiele Whitney Houstons besten Lieder	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Whitney Houstons SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Ich möchte die größten Hits von Foreigner hören	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Foreigner SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiele ein bisschen Elvis für mich	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Elvis SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiel Nickelback	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Nickelback SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiele Fly me to the Moon von Sinatra	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE Fly me to the Moon SL:MUSIC_TRACK_TITLE] [SL:MUSIC_ARTIST_NAME Sinatra SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiele Pretty Lights	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Pretty Lights SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Kann ich She Got the Best of Me hören	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE She Got the Best of Me SL:MUSIC_TRACK_TITLE] IN:PLAY_MUSIC]
Spiele die Band Trippie Redd	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Trippie Redd SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiele 1962 The Hangover Teil II	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE The Hangover Teil II SL:MUSIC_TRACK_TITLE] IN:PLAY_MUSIC]
Spiele 1956 Star Trek : Discovery	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE Star Trek : Discovery SL:MUSIC_TRACK_TITLE] IN:PLAY_MUSIC]
Bitte spiel Mo Bamba , The 1975 .	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE Mo Bamba SL:MUSIC_TRACK_TITLE] [SL:MUSIC_ARTIST_NAME The 1975 SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Spiele etwas von Florida Georgia Line	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Florida Georgia Line SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Kannst du eine Workout Playlist in Google Play Music spielen ?	[IN:PLAY_MUSIC [SL:MUSIC_PLAYLIST_TITLE Workout SL:MUSIC_PLAYLIST_TITLE] [SL:MUSIC_TYPE Playlist SL:MUSIC_TYPE] [SL:MUSIC_PROVIDER_NAME Google Play Music SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Ich möchte Jeremih auf Google Play hören	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Jeremih SL:MUSIC_ARTIST_NAME] [SL:MUSIC_PROVIDER_NAME Google Play SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Öffne Google Play und spiele Amy Grant	[IN:PLAY_MUSIC [SL:MUSIC_PROVIDER_NAME Google Play SL:MUSIC_PROVIDER_NAME] [SL:MUSIC_ARTIST_NAME Amy Grant SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Nutze Amazon standardmäßig	[IN:SET_DEFAULT_PROVIDER_MUSIC [SL:MUSIC_PROVIDER_NAME Amazon SL:MUSIC_PROVIDER_NAME] IN:SET_DEFAULT_PROVIDER_MUSIC]
Verwende für Musik bitte Google Play Music	[IN:SET_DEFAULT_PROVIDER_MUSIC [SL:MUSIC_PROVIDER_NAME Google Play Music SL:MUSIC_PROVIDER_NAME] IN:SET_DEFAULT_PROVIDER_MUSIC]
Verwende nur iheartradio , um Musik abzuspielen	[IN:SET_DEFAULT_PROVIDER_MUSIC [SL:MUSIC_PROVIDER_NAME iheartradio SL:MUSIC_PROVIDER_NAME] IN:SET_DEFAULT_PROVIDER_MUSIC]
Ich hätte gerne Tidal als meinen Standard	[IN:SET_DEFAULT_PROVIDER_MUSIC [SL:MUSIC_PROVIDER_NAME Tidal SL:MUSIC_PROVIDER_NAME] IN:SET_DEFAULT_PROVIDER_MUSIC]
Verwende Tidal nur für Musik	[IN:SET_DEFAULT_PROVIDER_MUSIC [SL:MUSIC_PROVIDER_NAME Tidal SL:MUSIC_PROVIDER_NAME] IN:SET_DEFAULT_PROVIDER_MUSIC]
Streame Musik nur über Amazon Music	[IN:SET_DEFAULT_PROVIDER_MUSIC [SL:MUSIC_PROVIDER_NAME Amazon Music SL:MUSIC_PROVIDER_NAME] IN:SET_DEFAULT_PROVIDER_MUSIC]
Erstelle einen Timer für vier Stunden und fünfundvierzig Minuten und einen für vier Minuten und einen für vier Minuten	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME für vier Stunden und fünfundvierzig Minuten SL:DATE_TIME] [SL:DATE_TIME für vier Minuten SL:DATE_TIME] [SL:DATE_TIME für vier Minuten SL:DATE_TIME] IN:CREATE_TIMER]
Erstelle einen Timer für 80 Sekunden , einen für zwei Stunden und einen für zehn Sekunden	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME für 80 Sekunden SL:DATE_TIME] [SL:DATE_TIME für zwei Stunden SL:DATE_TIME] [SL:DATE_TIME für zehn Sekunden SL:DATE_TIME] IN:CREATE_TIMER]
Lösche bitte den Timer	[IN:DELETE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:DELETE_TIMER]
Erstelle einen Gesichtsmasken - Timer	[IN:CREATE_TIMER [SL:TIMER_NAME Gesichtsmasken SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:CREATE_TIMER]
Zeige mir beliebte Veranstaltungen in Dayton	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT beliebte SL:ATTRIBUTE_EVENT] [SL:LOCATION Dayton SL:LOCATION] IN:GET_EVENT]
Empfiehl ein paar hundefreundliche Events	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT hundefreundliche SL:ATTRIBUTE_EVENT] IN:GET_EVENT]
Ich möchte ein paar Events sehen , die bei meinen Freunden beliebt sind	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT beliebt SL:ATTRIBUTE_EVENT] IN:GET_EVENT]
Ich möchte ein paar mehr hundefreundliche Events sehen	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT hundefreundliche SL:ATTRIBUTE_EVENT] IN:GET_EVENT]
Teile das erste Event mit Beckett	[IN:SHARE_EVENT [SL:ORDINAL erste SL:ORDINAL] [SL:CONTACT Beckett SL:CONTACT] IN:SHARE_EVENT]
Ändere meinen Status auf kann nicht zu diesem Event gehen	[IN:SET_RSVP_NO  IN:SET_RSVP_NO]
Bitte antworte nein zu Bon Iver im Gorge Amphitheater	[IN:SET_RSVP_NO [SL:TITLE_EVENT Bon Iver im Gorge Amphitheater SL:TITLE_EVENT] IN:SET_RSVP_NO]
Suche Gucci Mane Cover .	[IN:PLAY_MEDIA [SL:MUSIC_ARTIST_NAME Gucci Mane SL:MUSIC_ARTIST_NAME] IN:PLAY_MEDIA]
Suche Tiger Woods Startseite	[IN:PLAY_MEDIA [SL:MUSIC_ARTIST_NAME Tiger Woods SL:MUSIC_ARTIST_NAME] IN:PLAY_MEDIA]
Ziehe 17 Minuten von meinem Ofen - Timer ab	[IN:SUBTRACT_TIME_TIMER [SL:DATE_TIME 17 Minuten SL:DATE_TIME] [SL:TIMER_NAME Ofen SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:SUBTRACT_TIME_TIMER]
Kontaktiere Andrea Cordova auf WhatsApp	[IN:CREATE_CALL [SL:CONTACT Andrea Cordova SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Kannst du Victor Short auf WhatsApp anrufen	[IN:CREATE_CALL [SL:CONTACT Victor Short SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Ruf Elaina Baxter bitte mit Messenger an	[IN:CREATE_CALL [SL:CONTACT Elaina Baxter SL:CONTACT] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
Rufe James Petersen mit Messenger an	[IN:CREATE_CALL [SL:NAME_APP Messenger SL:NAME_APP] [SL:CONTACT James Petersen SL:CONTACT] IN:CREATE_CALL]
WhatsApp - Anruf an Leonel Frederick	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT Leonel Frederick SL:CONTACT] IN:CREATE_CALL]
Versuche Jose Dunn mit WhatsApp anzurufen	[IN:CREATE_CALL [SL:CONTACT Jose Dunn SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Ich möchte Samantha eine Video Aufnahme hinterlassen	[IN:SEND_MESSAGE [SL:RECIPIENT Samantha SL:RECIPIENT] [SL:TYPE_CONTENT Video SL:TYPE_CONTENT] IN:SEND_MESSAGE]
Rufe meinen Vater River Robertson über WeChat an	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meinen SL:CONTACT_RELATED]     [SL:TYPE_RELATION Vater SL:TYPE_RELATION]     [SL:CONTACT River Robertson SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP WeChat SL:NAME_APP] IN:CREATE_CALL]
Beginne einen Anruf mit Elizabeth über WeChat	[IN:CREATE_CALL [SL:CONTACT Elizabeth SL:CONTACT] [SL:NAME_APP WeChat SL:NAME_APP] IN:CREATE_CALL]
Rufe Kenneth WhatsApp an	[IN:CREATE_CALL [SL:CONTACT Kenneth SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Rufe Matias Gould über WhatsApp an	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT Matias Gould SL:CONTACT] IN:CREATE_CALL]
Rufe Dominic Lutz per Whatsapp an	[IN:CREATE_CALL [SL:CONTACT Dominic Lutz SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Ich brauche die Wetterdaten für Henley in Arden	[IN:GET_WEATHER [SL:LOCATION Henley in Arden SL:LOCATION] IN:GET_WEATHER]
Wetter für Abingdon an der Themse	[IN:GET_WEATHER [SL:LOCATION Abingdon an der Themse SL:LOCATION] IN:GET_WEATHER]
Kannst du einen Wecker für 10 Sekunden ab jetzt stellen	[IN:CREATE_ALARM [SL:DATE_TIME für 10 Sekunden ab jetzt SL:DATE_TIME] IN:CREATE_ALARM]
Richte einen Timer für mich ein	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:CREATE_TIMER]
Rufe Stanley und Clayton an	[IN:CREATE_CALL [SL:CONTACT Stanley SL:CONTACT] [SL:CONTACT Clayton SL:CONTACT] IN:CREATE_CALL]
Rufe Baker und Myers an	[IN:CREATE_CALL [SL:CONTACT Baker SL:CONTACT] [SL:CONTACT Myers SL:CONTACT] IN:CREATE_CALL]
Rufe Ella und Juliana an	[IN:CREATE_CALL [SL:CONTACT Ella SL:CONTACT] [SL:CONTACT Juliana SL:CONTACT] IN:CREATE_CALL]
Rufe Samantha und Payton an	[IN:CREATE_CALL [SL:CONTACT Samantha SL:CONTACT] [SL:CONTACT Payton SL:CONTACT] IN:CREATE_CALL]
Rufe Brown und Garcia an	[IN:CREATE_CALL [SL:CONTACT Brown SL:CONTACT] [SL:CONTACT Garcia SL:CONTACT] IN:CREATE_CALL]
Hat Hailey Fischer den Gruppenanruf angenommen	[IN:UPDATE_CALL [SL:CONTACT_REMOVED Hailey Fischer SL:CONTACT_REMOVED] IN:UPDATE_CALL]
Entferne Michelle aus diesem Anruf	[IN:UPDATE_CALL [SL:CONTACT_REMOVED Michelle SL:CONTACT_REMOVED] IN:UPDATE_CALL]
Starte einen Timer für eine Stunde	[IN:CREATE_TIMER [SL:DATE_TIME für eine Stunde SL:DATE_TIME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:CREATE_TIMER]
Stelle einen Timer für eine Stunde	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME für eine Stunde SL:DATE_TIME] IN:CREATE_TIMER]
Aktualisiere den Timer	[IN:UPDATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:UPDATE_TIMER]
Wie wird die Temperatur morgen früh sein	[IN:GET_WEATHER [SL:DATE_TIME morgen früh SL:DATE_TIME] IN:GET_WEATHER]
Aktualisiere alle Timer	[IN:UPDATE_TIMER [SL:AMOUNT alle SL:AMOUNT] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:UPDATE_TIMER]
Ich möchte , dass du den Timer aktualisierst	[IN:UPDATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:UPDATE_TIMER]
Ich mag Fitness nicht wirlich	[IN:DISPREFER [SL:CATEGORY_EVENT Fitness SL:CATEGORY_EVENT] IN:DISPREFER]
Rufe sofort Deborah an	[IN:CREATE_CALL [SL:CONTACT Deborah SL:CONTACT] IN:CREATE_CALL]
Wähle sofort Matthew	[IN:CREATE_CALL [SL:CONTACT Matthew SL:CONTACT] IN:CREATE_CALL]
Rufe die dritte Dayana an	[IN:CREATE_CALL [SL:ORDINAL dritte SL:ORDINAL] [SL:CONTACT Dayana SL:CONTACT] IN:CREATE_CALL]
Rufe Michelle Nummer drei an	[IN:CREATE_CALL [SL:CONTACT Michelle SL:CONTACT] [SL:ORDINAL drei SL:ORDINAL] IN:CREATE_CALL]
Rufe Victoria vier an	[IN:CREATE_CALL [SL:CONTACT Victoria SL:CONTACT] [SL:ORDINAL vier SL:ORDINAL] IN:CREATE_CALL]
Rufe Nummer vier an	[IN:CREATE_CALL [SL:ORDINAL vier SL:ORDINAL] IN:CREATE_CALL]
Geht irgendwer von meinen Freunden zu Tacocat ?	[IN:GET_ATTENDEE_EVENT [SL:ATTENDEE_EVENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meinen SL:CONTACT_RELATED]     [SL:TYPE_RELATION Freunden SL:TYPE_RELATION] IN:GET_CONTACT] SL:ATTENDEE_EVENT] [SL:TITLE_EVENT Tacocat SL:TITLE_EVENT] IN:GET_ATTENDEE_EVENT]
Kenne ich Jemanden , der auf das Tiny Living Festival geht ?	[IN:GET_ATTENDEE_EVENT [SL:TITLE_EVENT Tiny Living Festival SL:TITLE_EVENT] IN:GET_ATTENDEE_EVENT]
Wer kommt zu Katja Petrowskaja : Eine Familiengeschichte zwischen Erinnern und Vergessen ?	[IN:GET_ATTENDEE_EVENT [SL:TITLE_EVENT   Katja   Petrowskaja   :   Eine   Familiengeschichte   zwischen   Erinnern   und   Vergessen SL:TITLE_EVENT] IN:GET_ATTENDEE_EVENT]
Ich möchte , dass du mir sagst wann dieses Event beginnt	[IN:GET_DATE_TIME_EVENT  IN:GET_DATE_TIME_EVENT]
Wo ist das zweite Event ?	[IN:GET_LOCATION [SL:ORDINAL zweite SL:ORDINAL] IN:GET_LOCATION]
Wann beginnt diese Veranstaltung ?	[IN:GET_DATE_TIME_EVENT  IN:GET_DATE_TIME_EVENT]
Wer wird zu Brickpalooza gehen ?	[IN:GET_ATTENDEE_EVENT [SL:TITLE_EVENT Brickpalooza SL:TITLE_EVENT] IN:GET_ATTENDEE_EVENT]
Spiele Digistorm - Sender per iheartradio	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE Digistorm - SL:MUSIC_TRACK_TITLE] [SL:MUSIC_TYPE Sender SL:MUSIC_TYPE] [SL:MUSIC_PROVIDER_NAME iheartradio SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Rufe Jerome James an	[IN:CREATE_CALL [SL:CONTACT Jerome James SL:CONTACT] IN:CREATE_CALL]
Rufe Lizbeth Hatfield an	[IN:CREATE_CALL [SL:CONTACT Lizbeth Hatfield SL:CONTACT] IN:CREATE_CALL]
Rufe stattdessen Nicholas an	[IN:CREATE_CALL [SL:CONTACT Nicholas SL:CONTACT] IN:CREATE_CALL]
Rufe stattdessen Arturo Berry an	[IN:CREATE_CALL [SL:CONTACT Arturo Berry SL:CONTACT] IN:CREATE_CALL]
Rufe stattdessen Jack an	[IN:CREATE_CALL [SL:CONTACT Jack SL:CONTACT] IN:CREATE_CALL]
Rufe stattdessen Aria Duke an	[IN:CREATE_CALL [SL:CONTACT Aria Duke SL:CONTACT] IN:CREATE_CALL]
Rufe Elliot an	[IN:CREATE_CALL [SL:CONTACT Elliot SL:CONTACT] IN:CREATE_CALL]
Füge Baxter diesem Anruf hinzu	[IN:UPDATE_CALL [SL:CONTACT_ADDED Baxter SL:CONTACT_ADDED] IN:UPDATE_CALL]
Rufe bitte John an	[IN:CREATE_CALL [SL:CONTACT John SL:CONTACT] IN:CREATE_CALL]
Füge David meinem Anruf hinzu	[IN:UPDATE_CALL [SL:CONTACT_ADDED David SL:CONTACT_ADDED] IN:UPDATE_CALL]
Schicke ein Video an Thomas D Small	[IN:SEND_MESSAGE [SL:TYPE_CONTENT Video SL:TYPE_CONTENT] [SL:RECIPIENT Thomas D Small SL:RECIPIENT] IN:SEND_MESSAGE]
Antworte Kamryn mit einem Video	[IN:SEND_MESSAGE [SL:RECIPIENT Kamryn SL:RECIPIENT] [SL:TYPE_CONTENT Video SL:TYPE_CONTENT] IN:SEND_MESSAGE]
Kannst du ein Video schicken	[IN:SEND_MESSAGE [SL:TYPE_CONTENT Video SL:TYPE_CONTENT] IN:SEND_MESSAGE]
Rufe meine Großmutter Melissa per WhatsApp an	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meine SL:CONTACT_RELATED]     [SL:TYPE_RELATION Großmutter SL:TYPE_RELATION]     [SL:CONTACT Melissa SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Lass uns Elias Valdez per Whatsapp anrufen	[IN:CREATE_CALL [SL:CONTACT Elias Valdez SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Rufe Guillermo Hernandez per WhatsApp an	[IN:CREATE_CALL [SL:CONTACT Guillermo Hernandez SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Sprich mit Janet per WhatsApp	[IN:CREATE_CALL [SL:CONTACT Janet SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Rufe Miriam Anastasia Randall für mich an	[IN:CREATE_CALL [SL:CONTACT Miriam Anastasia Randall SL:CONTACT] IN:CREATE_CALL]
Rufe Ezekiel Daxton Farley für mich an	[IN:CREATE_CALL [SL:CONTACT Ezekiel Daxton Farley SL:CONTACT] IN:CREATE_CALL]
Ruf Remington Kayson Merritt für mich an	[IN:CREATE_CALL [SL:CONTACT Remington Kayson Merritt SL:CONTACT] IN:CREATE_CALL]
Ruf jetzt Ahmad A Wu an	[IN:CREATE_CALL [SL:CONTACT Ahmad A Wu SL:CONTACT] IN:CREATE_CALL]
Ich möchte BB Guerra anrufen	[IN:CREATE_CALL [SL:CONTACT BB Guerra SL:CONTACT] IN:CREATE_CALL]
Kannst du Stephanie R Krueger anrufen	[IN:CREATE_CALL [SL:CONTACT Stephanie R Krueger SL:CONTACT] IN:CREATE_CALL]
Ich möchte Amy R Woodward anrufen	[IN:CREATE_CALL [SL:CONTACT Amy R Woodward SL:CONTACT] IN:CREATE_CALL]
Ruf jetzt Joseph Peck Nguyen an	[IN:CREATE_CALL [SL:CONTACT Joseph Peck Nguyen SL:CONTACT] IN:CREATE_CALL]
Ich würde gerne Nicole Gilmore Shelton anrufen	[IN:CREATE_CALL [SL:CONTACT Nicole Gilmore Shelton SL:CONTACT] IN:CREATE_CALL]
Rufe Melissa David Alvarez an	[IN:CREATE_CALL [SL:CONTACT Melissa David Alvarez SL:CONTACT] IN:CREATE_CALL]
Ich möchte Lucia Claire Guerra anrufen	[IN:CREATE_CALL [SL:CONTACT Lucia Claire Guerra SL:CONTACT] IN:CREATE_CALL]
Wann ist morgen Dämmerung	[IN:GET_SUNRISE [SL:DATE_TIME morgen SL:DATE_TIME] IN:GET_SUNRISE]
Lass mich meine Freunde die morgen Geburtstag haben sehen	[IN:GET_CONTACT [SL:CONTACT_RELATED meine SL:CONTACT_RELATED] [SL:TYPE_RELATION Freunde SL:TYPE_RELATION] [SL:DATE_TIME morgen SL:DATE_TIME] IN:GET_CONTACT]
Was ist mit der Fort Collins Vorhersage	[IN:GET_WEATHER [SL:LOCATION Fort Collins SL:LOCATION] IN:GET_WEATHER]
Verbinde mich mit der Vorhersage	[IN:GET_WEATHER  IN:GET_WEATHER]
Wechsle auf nur Audio	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
Ändere den aktuellen Anruf auf Videoanruf um .	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
Stelle meinen Sprachanruf zu einem Videoanruf um	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
Kannst du den aktuellen Anruf mit Eric beenden	[IN:END_CALL [SL:CONTACT Eric SL:CONTACT] IN:END_CALL]
Hey füge Steve Johnson diesem Videoanruf hinzu	[IN:UPDATE_CALL [SL:CONTACT_ADDED Steve Johnson SL:CONTACT_ADDED] IN:UPDATE_CALL]
Ich bin momentan nicht verfügbar	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
Wer ist online verfügbar	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Ändere meinen Status zu Offline	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
Gibt es verpasste Anrufe von Samstagmorgen .	[IN:GET_CALL [SL:DATE_TIME von Samstagmorgen SL:DATE_TIME] IN:GET_CALL]
Ist Susan jetzt online	[IN:GET_AVAILABILITY [SL:CONTACT Susan SL:CONTACT] IN:GET_AVAILABILITY]
Was war die Zeit des Anrufs meiner Frau	[IN:GET_CALL_TIME [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meiner SL:CONTACT_RELATED]     [SL:TYPE_RELATION Frau SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:GET_CALL_TIME]
Wann war das letzte Mal , dass Luke mich anrief ?	[IN:GET_CALL_TIME [SL:CONTACT Luke SL:CONTACT] IN:GET_CALL_TIME]
Wann hat mich der Chef angerufen	[IN:GET_CALL_TIME [SL:CONTACT Chef SL:CONTACT] IN:GET_CALL_TIME]
Um wie viel Uhr hat mich Alison per Videoanruf angerufen	[IN:GET_CALL_TIME [SL:CONTACT Alison SL:CONTACT] IN:GET_CALL_TIME]
Gab es heute irgendwelche verpasste Anrufe	[IN:GET_CALL [SL:DATE_TIME heute SL:DATE_TIME] IN:GET_CALL]
Bitte ruf meinen Stiefvater an	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meinen SL:CONTACT_RELATED]     [SL:TYPE_RELATION Stiefvater SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Rufe Jeremy an	[IN:CREATE_CALL [SL:CONTACT Jeremy SL:CONTACT] IN:CREATE_CALL]
Rufe meine Großmutter an	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meine SL:CONTACT_RELATED]     [SL:TYPE_RELATION Großmutter SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Rufe bitte meine Tochter an	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meine SL:CONTACT_RELATED]     [SL:TYPE_RELATION Tochter SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Um wie viel Uhr hatte ich meinen letzten Anruf	[IN:GET_CALL_TIME  IN:GET_CALL_TIME]
Wann hat meine Mutter mich angerufen ?	[IN:GET_CALL_TIME [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meine SL:CONTACT_RELATED]     [SL:TYPE_RELATION Mutter SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:GET_CALL_TIME]
Rufe Tammy an	[IN:CREATE_CALL [SL:CONTACT Tammy SL:CONTACT] IN:CREATE_CALL]
Brich bitte den Anruf ab	[IN:END_CALL  IN:END_CALL]
Rufe mein Mädchen an	[IN:CREATE_CALL [SL:CONTACT Mädchen SL:CONTACT] IN:CREATE_CALL]
Rufe das Handy meiner Großmutter an	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meiner SL:CONTACT_RELATED]     [SL:TYPE_RELATION Großmutter SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Kannst du meinen Bruder John anrufen	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT John SL:CONTACT]     [SL:CONTACT_RELATED meinen SL:CONTACT_RELATED]     [SL:TYPE_RELATION Bruder SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Spiele das Album In The Lonely Hour ( Drowning Shadows Edition ) auf iheartradio	[IN:PLAY_MUSIC [SL:MUSIC_TYPE Album SL:MUSIC_TYPE] [SL:MUSIC_ALBUM_TITLE   In   The   Lonely   Hour   [   Drowning   Shadows   Edition    ] SL:MUSIC_ALBUM_TITLE] [SL:MUSIC_PROVIDER_NAME iheartradio SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Öffne iheartradio und spiel The Complete Collection	[IN:PLAY_MUSIC [SL:MUSIC_PROVIDER_NAME iheartradio SL:MUSIC_PROVIDER_NAME] [SL:MUSIC_ALBUM_TITLE The Complete Collection SL:MUSIC_ALBUM_TITLE] IN:PLAY_MUSIC]
