llamar a Irene Powell	[IN:CREATE_CALL [SL:CONTACT Irene Powell SL:CONTACT] IN:CREATE_CALL]
puedes llamar a Briana usando Messenger	[IN:CREATE_CALL [SL:CONTACT Briana SL:CONTACT] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
Por favor , usa Messenger para llamar a Jeremiah	[IN:CREATE_CALL [SL:NAME_APP Messenger SL:NAME_APP] [SL:CONTACT Jeremiah SL:CONTACT] IN:CREATE_CALL]
Puedes llamar a Leila por Messenger	[IN:CREATE_CALL [SL:CONTACT Leila SL:CONTACT] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
Usando Messenger , llama a River Robertson	[IN:CREATE_CALL [SL:NAME_APP Messenger SL:NAME_APP] [SL:CONTACT River Robertson SL:CONTACT] IN:CREATE_CALL]
utiliza Messenger para llamar a Maxwell Costa	[IN:CREATE_CALL [SL:NAME_APP Messenger SL:NAME_APP] [SL:CONTACT Maxwell Costa SL:CONTACT] IN:CREATE_CALL]
puedes usar por favor usa WhatsApp para llamar a Antonio Muñoz	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT Antonio Muñoz SL:CONTACT] IN:CREATE_CALL]
¿ Puedes llamar a Jayceon Hendrix en Whatsapp ?	[IN:CREATE_CALL [SL:CONTACT Jayceon Hendrix SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Podrías por favor usar Whatsapp para llamar a Elise Bernard	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Elise Bernard SL:CONTACT] IN:CREATE_CALL]
¿ Puedes llamar a Clara Wilcox usando Messenger	[IN:CREATE_CALL [SL:CONTACT Clara Wilcox SL:CONTACT] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
Por favor , ¿ puedes llamar a Richard Adams en Messenger ?	[IN:CREATE_CALL [SL:CONTACT Richard Adams SL:CONTACT] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
¿ Puedes usar Messenger para llamar a Justin Acosta ?	[IN:CREATE_CALL [SL:NAME_APP Messenger SL:NAME_APP] [SL:CONTACT Justin Acosta SL:CONTACT] IN:CREATE_CALL]
¿ Puedes llamar a Hudson Garza por WhatsApp ?	[IN:CREATE_CALL [SL:CONTACT Hudson Garza SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
llamar a Cody Gill en Messenger	[IN:CREATE_CALL [SL:CONTACT Cody Gill SL:CONTACT] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
Llamar por Messenger a Jade Nelson	[IN:CREATE_CALL [SL:NAME_APP Messenger SL:NAME_APP] [SL:CONTACT Jade Nelson SL:CONTACT] IN:CREATE_CALL]
me gustaría llamar a Kali Fox a través de WhatsApp	[IN:CREATE_CALL [SL:CONTACT Kali Fox SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Trata de llamar a Jennifer Curry en WhatsApp	[IN:CREATE_CALL [SL:CONTACT Jennifer Curry SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Llama a Alexander Hinton por WhatsApp	[IN:CREATE_CALL [SL:CONTACT Alexander Hinton SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
llamar a Zander Reyes con Messenger por favor	[IN:CREATE_CALL [SL:CONTACT Zander Reyes SL:CONTACT] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
¿ Puedes llamar a Mark Meyers en WhatsApp ?	[IN:CREATE_CALL [SL:CONTACT Mark Meyers SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Llamemos a Katherine por Hangouts	[IN:CREATE_CALL [SL:CONTACT Katherine SL:CONTACT] [SL:NAME_APP Hangouts SL:NAME_APP] IN:CREATE_CALL]
Llama a Karen por Messenger	[IN:CREATE_CALL [SL:CONTACT Karen SL:CONTACT] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
Llamada Hangouts a Melissa	[IN:CREATE_CALL [SL:NAME_APP Hangouts SL:NAME_APP] [SL:CONTACT Melissa SL:CONTACT] IN:CREATE_CALL]
Llama a James por WeChat	[IN:CREATE_CALL [SL:CONTACT James SL:CONTACT] [SL:NAME_APP WeChat SL:NAME_APP] IN:CREATE_CALL]
Llama a Susan por WhatsApp	[IN:CREATE_CALL [SL:CONTACT Susan SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Llama a Justin por WhatsApp	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT Justin SL:CONTACT] IN:CREATE_CALL]
Llama por Whatsapp a Jayce Haynes	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Jayce Haynes SL:CONTACT] IN:CREATE_CALL]
Llama por WhatsApp a Christine Davila	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT Christine Davila SL:CONTACT] IN:CREATE_CALL]
Llama al WhatsApp de Tatum Floyd	[IN:CREATE_CALL [SL:CONTACT Tatum Floyd SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Llama a Michael y Bridges	[IN:CREATE_CALL [SL:CONTACT Michael SL:CONTACT] [SL:CONTACT Bridges SL:CONTACT] IN:CREATE_CALL]
Llama a Carson y Hansen	[IN:CREATE_CALL [SL:CONTACT Carson SL:CONTACT] [SL:CONTACT Hansen SL:CONTACT] IN:CREATE_CALL]
llama a Suarez y Davis	[IN:CREATE_CALL [SL:CONTACT Suarez SL:CONTACT] [SL:CONTACT Davis SL:CONTACT] IN:CREATE_CALL]
llamar a Kerr and Sheppard	[IN:CREATE_CALL [SL:CONTACT Kerr SL:CONTACT] [SL:CONTACT Sheppard SL:CONTACT] IN:CREATE_CALL]
Llama a Sawyer y Wong	[IN:CREATE_CALL [SL:CONTACT Sawyer SL:CONTACT] [SL:CONTACT Wong SL:CONTACT] IN:CREATE_CALL]
Llama a Gonzales y Chavez .	[IN:CREATE_CALL [SL:CONTACT Gonzales SL:CONTACT] [SL:CONTACT Chavez SL:CONTACT] IN:CREATE_CALL]
llama a Camila y Kai	[IN:CREATE_CALL [SL:CONTACT Camila SL:CONTACT] [SL:CONTACT Kai SL:CONTACT] IN:CREATE_CALL]
llamar a Víctor y Sara	[IN:CREATE_CALL [SL:CONTACT Víctor SL:CONTACT] [SL:CONTACT Sara SL:CONTACT] IN:CREATE_CALL]
Llamar a Liliana y Bailey	[IN:CREATE_CALL [SL:CONTACT Liliana SL:CONTACT] [SL:CONTACT Bailey SL:CONTACT] IN:CREATE_CALL]
Llamar a Kai y Ava	[IN:CREATE_CALL [SL:CONTACT Kai SL:CONTACT] [SL:CONTACT Ava SL:CONTACT] IN:CREATE_CALL]
llama a Young y a Rivera	[IN:CREATE_CALL [SL:CONTACT Young SL:CONTACT] [SL:CONTACT Rivera SL:CONTACT] IN:CREATE_CALL]
Llama al Ryann Small y Callie Mclean	[IN:CREATE_CALL [SL:CONTACT Ryann Small SL:CONTACT] [SL:CONTACT Callie Mclean SL:CONTACT] IN:CREATE_CALL]
Está mi hermano en línea	[IN:GET_AVAILABILITY [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mi SL:CONTACT_RELATED]     [SL:TYPE_RELATION hermano SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:GET_AVAILABILITY]
Desconecta a Benjamín de esta llamada .	[IN:UPDATE_CALL [SL:CONTACT_REMOVED Benjamín SL:CONTACT_REMOVED] IN:UPDATE_CALL]
Quita a Samuel de esta llamada	[IN:UPDATE_CALL [SL:CONTACT_REMOVED Samuel SL:CONTACT_REMOVED] IN:UPDATE_CALL]
Quita a Murphy de la llamada grupal	[IN:UPDATE_CALL [SL:CONTACT_REMOVED Murphy SL:CONTACT_REMOVED] IN:UPDATE_CALL]
¿ Thomas quitó la llamada grupal ?	[IN:UPDATE_CALL [SL:CONTACT_REMOVED Thomas SL:CONTACT_REMOVED] IN:UPDATE_CALL]
Saca a Kelly de la llamada grupal	[IN:UPDATE_CALL [SL:CONTACT_REMOVED Kelly SL:CONTACT_REMOVED] IN:UPDATE_CALL]
Por favor , llama a Richardson enseguida	[IN:CREATE_CALL [SL:CONTACT Richardson SL:CONTACT] IN:CREATE_CALL]
Llama a Hughes enseguida	[IN:CREATE_CALL [SL:CONTACT Hughes SL:CONTACT] IN:CREATE_CALL]
llama a Kim inmediatamente	[IN:CREATE_CALL [SL:CONTACT Kim SL:CONTACT] IN:CREATE_CALL]
Llama a Catherine inmediatamente	[IN:CREATE_CALL [SL:CONTACT Catherine SL:CONTACT] IN:CREATE_CALL]
llama a Charlie Hill de inmediato	[IN:CREATE_CALL [SL:CONTACT Charlie Hill SL:CONTACT] IN:CREATE_CALL]
Llama a Edgar Lucas ahora mismo	[IN:CREATE_CALL [SL:CONTACT Edgar Lucas SL:CONTACT] IN:CREATE_CALL]
llama a Morgan Morgan directamente	[IN:CREATE_CALL [SL:CONTACT Morgan Morgan SL:CONTACT] IN:CREATE_CALL]
marca el número de Keith Chung enseguida	[IN:CREATE_CALL [SL:CONTACT Keith Chung SL:CONTACT] IN:CREATE_CALL]
marca el número de Edward directamente	[IN:CREATE_CALL [SL:CONTACT Edward SL:CONTACT] IN:CREATE_CALL]
Marca al número de Emily enseguida por favor	[IN:CREATE_CALL [SL:CONTACT Emily SL:CONTACT] IN:CREATE_CALL]
marca a Pierce en este momento	[IN:CREATE_CALL [SL:CONTACT Pierce SL:CONTACT] IN:CREATE_CALL]
Llama a la última Lisa	[IN:CREATE_CALL [SL:ORDINAL última SL:ORDINAL] [SL:CONTACT Lisa SL:CONTACT] IN:CREATE_CALL]
llama a la tercera Emma	[IN:CREATE_CALL [SL:ORDINAL tercera SL:ORDINAL] [SL:CONTACT Emma SL:CONTACT] IN:CREATE_CALL]
llamar a Dennis dos	[IN:CREATE_CALL [SL:CONTACT Dennis SL:CONTACT] [SL:ORDINAL dos SL:ORDINAL] IN:CREATE_CALL]
Llama a Daniel número dos	[IN:CREATE_CALL [SL:CONTACT Daniel SL:CONTACT] [SL:ORDINAL dos SL:ORDINAL] IN:CREATE_CALL]
Llama a Dayana número dos	[IN:CREATE_CALL [SL:CONTACT Dayana SL:CONTACT] [SL:ORDINAL dos SL:ORDINAL] IN:CREATE_CALL]
Llama a Laura número dos	[IN:CREATE_CALL [SL:CONTACT Laura SL:CONTACT] [SL:ORDINAL dos SL:ORDINAL] IN:CREATE_CALL]
Llama a Nataly tres	[IN:CREATE_CALL [SL:CONTACT Nataly SL:CONTACT] [SL:ORDINAL tres SL:ORDINAL] IN:CREATE_CALL]
Llamar a Alissa , número tres	[IN:CREATE_CALL [SL:CONTACT Alissa SL:CONTACT] [SL:ORDINAL tres SL:ORDINAL] IN:CREATE_CALL]
Llama a Jack 1	[IN:CREATE_CALL [SL:CONTACT Jack SL:CONTACT] [SL:ORDINAL 1 SL:ORDINAL] IN:CREATE_CALL]
llama a Santiago cuatro	[IN:CREATE_CALL [SL:CONTACT Santiago SL:CONTACT] [SL:ORDINAL cuatro SL:ORDINAL] IN:CREATE_CALL]
llama a Corbin dos	[IN:CREATE_CALL [SL:CONTACT Corbin SL:CONTACT] [SL:ORDINAL dos SL:ORDINAL] IN:CREATE_CALL]
marcar Shaun Nguyen	[IN:CREATE_CALL [SL:CONTACT Shaun Nguyen SL:CONTACT] IN:CREATE_CALL]
Llamar a Madalynn Burch	[IN:CREATE_CALL [SL:CONTACT Madalynn Burch SL:CONTACT] IN:CREATE_CALL]
llama a Peyton Castaneda	[IN:CREATE_CALL [SL:CONTACT Peyton Castaneda SL:CONTACT] IN:CREATE_CALL]
Haz una llamada de WhatsApp a Elizabeth	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT Elizabeth SL:CONTACT] IN:CREATE_CALL]
llamar por WhatsApp a Karen	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT Karen SL:CONTACT] IN:CREATE_CALL]
Mejor llama a Timothy	[IN:CREATE_CALL [SL:CONTACT Timothy SL:CONTACT] IN:CREATE_CALL]
Mejor llama a Sydney Roth	[IN:CREATE_CALL [SL:CONTACT Sydney Roth SL:CONTACT] IN:CREATE_CALL]
Llamar mejor a Guillermo Hernández	[IN:CREATE_CALL [SL:CONTACT Guillermo Hernández SL:CONTACT] IN:CREATE_CALL]
Por favor llama a Amy	[IN:CREATE_CALL [SL:CONTACT Amy SL:CONTACT] IN:CREATE_CALL]
Quiero llamar a Anna	[IN:CREATE_CALL [SL:CONTACT Anna SL:CONTACT] IN:CREATE_CALL]
Llama a Philip por mí	[IN:CREATE_CALL [SL:CONTACT Philip SL:CONTACT] IN:CREATE_CALL]
Llámame a mi primo por WhatsApp	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT [SL:CONTACT_RELATED mi SL:CONTACT_RELATED] [SL:TYPE_RELATION primo SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Llamar al celular de Evelyn	[IN:CREATE_CALL [SL:CONTACT Evelyn SL:CONTACT] IN:CREATE_CALL]
¿ Puedes agregar a Mary a la llamada ?	[IN:UPDATE_CALL [SL:CONTACT_ADDED Mary SL:CONTACT_ADDED] IN:UPDATE_CALL]
haz una llamada a Jane por WhatsApp	[IN:CREATE_CALL [SL:CONTACT Jane SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Iniciar una llamada con Destiny Collins por WhatsApp	[IN:CREATE_CALL [SL:CONTACT Destiny Collins SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
llamar a mi amigo Andy Nelson por WhatsApp	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mi SL:CONTACT_RELATED]     [SL:TYPE_RELATION amigo SL:TYPE_RELATION]     [SL:CONTACT Andy Nelson SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Llamemos a Catalina por WhatsApp	[IN:CREATE_CALL [SL:CONTACT Catalina SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
llama a mi mujer Brianna Anderson a través de WhatsApp	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mi SL:CONTACT_RELATED]     [SL:TYPE_RELATION mujer SL:TYPE_RELATION]     [SL:CONTACT Brianna Anderson SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Llama a mi esposa Carolyn a través de WhatsApp	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mi SL:CONTACT_RELATED]     [SL:TYPE_RELATION esposa SL:TYPE_RELATION]     [SL:CONTACT Carolyn SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Quiero llamar a Savion mediante WhatsApp	[IN:CREATE_CALL [SL:CONTACT Savion SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Vamos a llamar a Uriel por WhatsApp	[IN:CREATE_CALL [SL:CONTACT Uriel SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Llama a Athena Sims por WhatsApp	[IN:CREATE_CALL [SL:CONTACT Athena Sims SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
llamar a Francy Carrol Briggs	[IN:CREATE_CALL [SL:CONTACT Francy Carrol Briggs SL:CONTACT] IN:CREATE_CALL]
quiero llamar a William Landon Bennett	[IN:CREATE_CALL [SL:CONTACT William Landon Bennett SL:CONTACT] IN:CREATE_CALL]
Por favor , llama a Gideon Rhett Patel	[IN:CREATE_CALL [SL:CONTACT Gideon Rhett Patel SL:CONTACT] IN:CREATE_CALL]
Llámame a Jayla Carole Bautista	[IN:CREATE_CALL [SL:CONTACT Jayla Carole Bautista SL:CONTACT] IN:CREATE_CALL]
Quisiera llamar a Sawyer Autumn Lowery	[IN:CREATE_CALL [SL:CONTACT Sawyer Autumn Lowery SL:CONTACT] IN:CREATE_CALL]
Quiero llamar a Noah Tobias Ward	[IN:CREATE_CALL [SL:CONTACT Noah Tobias Ward SL:CONTACT] IN:CREATE_CALL]
Quiero llamar a Brayden Devin Kelly	[IN:CREATE_CALL [SL:CONTACT Brayden Devin Kelly SL:CONTACT] IN:CREATE_CALL]
Quisiera llamar a Blake Johnathan Benson	[IN:CREATE_CALL [SL:CONTACT Blake Johnathan Benson SL:CONTACT] IN:CREATE_CALL]
Puedes llamar a John Miller Casa	[IN:CREATE_CALL [SL:CONTACT John Miller Casa SL:CONTACT] IN:CREATE_CALL]
Me gustaría llamar a Andrew Rowland Spencer	[IN:CREATE_CALL [SL:CONTACT Andrew Rowland Spencer SL:CONTACT] IN:CREATE_CALL]
Llama a Catherine Ewing Gibson	[IN:CREATE_CALL [SL:CONTACT a Catherine Ewing Gibson SL:CONTACT] IN:CREATE_CALL]
Quiero llamar a Laura Ray Donaldson	[IN:CREATE_CALL [SL:CONTACT Laura Ray Donaldson SL:CONTACT] IN:CREATE_CALL]
Quisiera llamar a James Oconnor Silva	[IN:CREATE_CALL [SL:CONTACT James Oconnor Silva SL:CONTACT] IN:CREATE_CALL]
Quisiera llamar a Timothy Bass Carson	[IN:CREATE_CALL [SL:CONTACT Timothy Bass Carson SL:CONTACT] IN:CREATE_CALL]
¿ Puedes llamar a Larry Powell Sweeney ?	[IN:CREATE_CALL [SL:CONTACT Larry Powell Sweeney SL:CONTACT] IN:CREATE_CALL]
Quiero llamar a Jennifer Hooper Zúñiga	[IN:CREATE_CALL [SL:CONTACT Jennifer Hooper Zúñiga SL:CONTACT] IN:CREATE_CALL]
Llama a Emily Frazier Sims	[IN:CREATE_CALL [SL:CONTACT Emily Frazier Sims SL:CONTACT] IN:CREATE_CALL]
¿ Puedes llamar a Daniel Figueroa Woodard ?	[IN:CREATE_CALL [SL:CONTACT Daniel Figueroa Woodard SL:CONTACT] IN:CREATE_CALL]
Llámame a Stephanie Conrad Escobar	[IN:CREATE_CALL [SL:CONTACT Stephanie Conrad Escobar SL:CONTACT] IN:CREATE_CALL]
Por favor llama a A Holder	[IN:CREATE_CALL [SL:CONTACT A Holder SL:CONTACT] IN:CREATE_CALL]
Llamar a RA Larsen	[IN:CREATE_CALL [SL:CONTACT RA Larsen SL:CONTACT] IN:CREATE_CALL]
¿ Puedes llamar a KL Luna ?	[IN:CREATE_CALL [SL:CONTACT KL Luna SL:CONTACT] IN:CREATE_CALL]
¿ Puedes llamar a J Li ?	[IN:CREATE_CALL [SL:CONTACT J Li SL:CONTACT] IN:CREATE_CALL]
Me gustaría llamar a I Carney	[IN:CREATE_CALL [SL:CONTACT I Carney SL:CONTACT] IN:CREATE_CALL]
Puedes llamar a S Holt	[IN:CREATE_CALL [SL:CONTACT S Holt SL:CONTACT] IN:CREATE_CALL]
Quisiera llamar a Mary M Welch	[IN:CREATE_CALL [SL:CONTACT Mary M Welch SL:CONTACT] IN:CREATE_CALL]
Quiero llamar a Betty B Arroyo	[IN:CREATE_CALL [SL:CONTACT Betty B Arroyo SL:CONTACT] IN:CREATE_CALL]
Quiero llamar a Jorge J . Ríos	[IN:CREATE_CALL [SL:CONTACT Jorge J . Ríos SL:CONTACT] IN:CREATE_CALL]
¿ Puedes llamar a Raymond White Wright ?	[IN:CREATE_CALL [SL:CONTACT Raymond White Wright SL:CONTACT] IN:CREATE_CALL]
llama a Paul Rocha Cox	[IN:CREATE_CALL [SL:CONTACT Paul Rocha Cox SL:CONTACT] IN:CREATE_CALL]
¿ Puedes llamar a Keegan Xavier Andersen ?	[IN:CREATE_CALL [SL:CONTACT Keegan Xavier Andersen SL:CONTACT] IN:CREATE_CALL]
Por favor llamar a Ruby Callie Mclean	[IN:CREATE_CALL [SL:CONTACT Ruby Callie Mclean SL:CONTACT] IN:CREATE_CALL]
Llama a Kendall Paislee Jimenez por mí	[IN:CREATE_CALL [SL:CONTACT Kendall Paislee Jimenez SL:CONTACT] IN:CREATE_CALL]
Cambia la llamada de voz a video llamada	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
Termina esta llamada	[IN:END_CALL  IN:END_CALL]
Por favor , finaliza la llamada	[IN:END_CALL  IN:END_CALL]
Terminar llamada con Mary .	[IN:END_CALL [SL:CONTACT Mary SL:CONTACT] IN:END_CALL]
Agregar a Grace a nuestra conversación .	[IN:UPDATE_CALL [SL:CONTACT_ADDED Grace SL:CONTACT_ADDED] IN:UPDATE_CALL]
Vuelve a marcar el teléfono de mamá	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION mamá SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Cambia la llamada a video .	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
Cambiar a video llamada	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
no más video con jess	[IN:UPDATE_METHOD_CALL [SL:CONTACT jess SL:CONTACT] IN:UPDATE_METHOD_CALL]
Convertir esta llamada en video llamada	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
Fíjate si Bob anda por ahí para llamarlo .	[IN:GET_AVAILABILITY [SL:CONTACT Bob SL:CONTACT] IN:GET_AVAILABILITY]
Desconecta esta llamada .	[IN:END_CALL  IN:END_CALL]
Terminar esta video llamada	[IN:END_CALL  IN:END_CALL]
Cuelga esta llamada	[IN:END_CALL  IN:END_CALL]
Haz esta video llamada	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
¿ Puedes retomar la llamada ahora ?	[IN:RESUME_CALL  IN:RESUME_CALL]
Cuelga ahora	[IN:END_CALL  IN:END_CALL]
Agrega video a esta llamada .	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
Añade a Steve a esta llamada	[IN:UPDATE_CALL [SL:CONTACT_ADDED Steve SL:CONTACT_ADDED] IN:UPDATE_CALL]
Por favor cambia esta video llamada a una llamada de voz .	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
Abandona esta llamada .	[IN:END_CALL  IN:END_CALL]
Pon esta llamada en espera	[IN:HOLD_CALL  IN:HOLD_CALL]
Añade a mamá a la llamada	[IN:UPDATE_CALL [SL:CONTACT_ADDED [IN:GET_CONTACT [SL:TYPE_RELATION mamá SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT_ADDED] IN:UPDATE_CALL]
Agrega a Marion a la llamada grupal .	[IN:UPDATE_CALL [SL:CONTACT_ADDED Marion SL:CONTACT_ADDED] IN:UPDATE_CALL]
Por favor , agrega a mamá ahora	[IN:UPDATE_CALL [SL:CONTACT_ADDED [IN:GET_CONTACT [SL:TYPE_RELATION mamá SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT_ADDED] IN:UPDATE_CALL]
Cuélgale a Trang ahora en esta llamada	[IN:UPDATE_CALL [SL:CONTACT_REMOVED Trang SL:CONTACT_REMOVED] IN:UPDATE_CALL]
Iniciar llamada grupal	[IN:CREATE_CALL  IN:CREATE_CALL]
Desactiva el video para esta llamada	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
Saca a Bill de esta llamada ya	[IN:UPDATE_CALL [SL:CONTACT_REMOVED Bill SL:CONTACT_REMOVED] IN:UPDATE_CALL]
Muéstra me no disponible por el momento	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
Verifica si Katie se encuentra en línea ahora .	[IN:GET_AVAILABILITY [SL:CONTACT Katie SL:CONTACT] IN:GET_AVAILABILITY]
Cambia mi estado a disponible	[IN:SET_AVAILABLE  IN:SET_AVAILABLE]
No estoy disponible	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
Cambia mi visibilidad en línea a no disponible	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
Haz que mi estado sea no disponible	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
Muéstra me no disponible en línea	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
Fija mi disponibilidad como no disponible	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
Cambia mi disponibilidad a en línea	[IN:SET_AVAILABLE  IN:SET_AVAILABLE]
¿ Está Louise al teléfono ?	[IN:GET_AVAILABILITY [SL:CONTACT Louise SL:CONTACT] IN:GET_AVAILABILITY]
No estoy disponible por el momento .	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
Muéstra me el estado de Kevin en línea	[IN:GET_AVAILABILITY [SL:CONTACT Kevin SL:CONTACT] IN:GET_AVAILABILITY]
Desactiva mi disponibilidad	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
Me perdí algunas llamadas telefónicas	[IN:GET_CALL  IN:GET_CALL]
¿ Puedes decirme si tengo algunas llamadas perdidas por favor ?	[IN:GET_CALL  IN:GET_CALL]
muestra quién está conectado	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
¿ A qué hora llamé a papá ?	[IN:GET_CALL_TIME [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION papá SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:GET_CALL_TIME]
¿ Está Jack disponible para una llamada ?	[IN:GET_AVAILABILITY [SL:CONTACT Jack SL:CONTACT] IN:GET_AVAILABILITY]
¿ Tengo una llamada perdida de mi hermana ?	[IN:GET_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mi SL:CONTACT_RELATED]     [SL:TYPE_RELATION hermana SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:GET_CALL]
revisa si Susan está en línea	[IN:GET_AVAILABILITY [SL:CONTACT Susan SL:CONTACT] IN:GET_AVAILABILITY]
¿ A qué hora me llamó el jefe ?	[IN:GET_CALL_TIME [SL:CONTACT jefe SL:CONTACT] IN:GET_CALL_TIME]
¿ A qué hora llamé a Mamá ayer ?	[IN:GET_CALL_TIME [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION Mamá SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] [SL:DATE_TIME ayer SL:DATE_TIME] IN:GET_CALL_TIME]
¿ Quién me llamo anoche ?	[IN:GET_CALL_CONTACT [SL:DATE_TIME anoche SL:DATE_TIME] IN:GET_CALL_CONTACT]
Encuéntrame llamadas de esta tarde	[IN:GET_CALL [SL:DATE_TIME de esta tarde SL:DATE_TIME] IN:GET_CALL]
¿ Tengo alguna video llamada perdida de hoy ?	[IN:GET_CALL [SL:DATE_TIME de hoy SL:DATE_TIME] IN:GET_CALL]
¿ Tengo llamadas perdidas ?	[IN:GET_CALL  IN:GET_CALL]
¿ A qué hora me llamó la escuela hoy ?	[IN:GET_CALL_TIME [SL:CONTACT escuela SL:CONTACT] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_CALL_TIME]
Mostrar me todas las llamadas perdidas , por favor	[IN:GET_CALL [SL:AMOUNT todas SL:AMOUNT] IN:GET_CALL]
